ASX code,Company name,GICs industry group,Listing date,Market Cap,inner_page_url
14D,1414 DEGREES LIMITED,Capital Goods,12-09-2018,4892243,https://www.asx.com.au/markets/company/14D
1AD,ADALTA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",22-08-2016,2516766,https://www.asx.com.au/markets/company/1AD
1AE,AURORA ENERGY METALS LIMITED,Materials,18-05-2022,11639143,https://www.asx.com.au/markets/company/1AE
1AI,ALGORAE PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",01-09-2004,8436974,https://www.asx.com.au/markets/company/1AI
1CG,ONE CLICK GROUP LIMITED,Capital Goods,28-04-2017,9423039,https://www.asx.com.au/markets/company/1CG
1MC,MORELLA CORPORATION LIMITED,Materials,08-01-2001,6561124,https://www.asx.com.au/markets/company/1MC
1TT,THRIVE TRIBE TECHNOLOGIES LIMITED,Software & Services,09-07-2015,2031723,https://www.asx.com.au/markets/company/1TT
29M,29METALS LIMITED,Materials,02-07-2021,315407380,https://www.asx.com.au/markets/company/29M
360,LIFE360 INC.,Software & Services,10-05-2019,7573889956,https://www.asx.com.au/markets/company/360
3DA,AMAERO LTD,Capital Goods,06-12-2019,220899152,https://www.asx.com.au/markets/company/3DA
3DP,POINTERRA LIMITED,Software & Services,27-03-2008,37033533,https://www.asx.com.au/markets/company/3DP
3PL,3P LEARNING LIMITED..,Consumer Services,09-07-2014,163743913,https://www.asx.com.au/markets/company/3PL
4DS,4DS MEMORY LIMITED,Semiconductors & Semiconductor Equipment,09-12-2010,143041004,https://www.asx.com.au/markets/company/4DS
4DX,4DMEDICAL LIMITED,Health Care Equipment & Services,07-08-2020,139656054,https://www.asx.com.au/markets/company/4DX
5EA,5E ADVANCED MATERIALS INC.,Materials,01-03-2022,124110025,https://www.asx.com.au/markets/company/5EA
5GG,PENTANET LIMITED,Telecommunication Services,29-01-2021,12128806,https://www.asx.com.au/markets/company/5GG
5GN,5G NETWORKS LIMITED.,Software & Services,14-12-1999,40208638,https://www.asx.com.au/markets/company/5GN
88E,88 ENERGY LIMITED,Energy,20-01-2000,28933760,https://www.asx.com.au/markets/company/88E
8CO,8COMMON LIMITED,Software & Services,27-08-2014,3809613,https://www.asx.com.au/markets/company/8CO
8IH,8I HOLDINGS LTD,Financial Services,17-12-2014,3133448,https://www.asx.com.au/markets/company/8IH
A11,ATLANTIC LITHIUM LIMITED,Materials,26-09-2022,83177678,https://www.asx.com.au/markets/company/A11
A1G,AFRICAN GOLD LTD.,Materials,14-02-2019,76803172,https://www.asx.com.au/markets/company/A1G
A1M,AIC MINES LIMITED,Materials,04-11-1993,189975271,https://www.asx.com.au/markets/company/A1M
