data.isin,data.priceAsk,data.priceBid,data.priceClose,data.priceDayHigh,data.priceDayLow,data.priceFiftyTwoWeekHigh,data.priceFiftyTwoWeekLow,data.volumeAverage,data.cashFlow,data.earningsPerShare,data.freeCashFlowYield,data.priceEarningsRatio,data.priceToCash,data.foreignExempt,data.shareDescription,data.numOfShares,data.yieldAnnual,data.incomeStatement,data.tic,data.dateExDate,data.datePayDate,data.dateRecordDate,data.dividend,data.dividendCurrency,data.dividendType,data.frankingPercent,data.foreignCurrencyAmount
AU0000010696,0.019,0.016,0.017,0.018000000000000002,0.017,0.077,0.016,274323.885057,-4.69186,-0.01171,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,287779018,0.0,"[{'revenue': 34730, 'netIncome': -2505500, 'period': '2024A', 'fPeriodEndDate': 45473, 'curCode': 'AUD'}, {'revenue': 115390, 'netIncome': -1831250, 'period': '2023A', 'fPeriodEndDate': 45107, 'curCode': 'AUD'}, {'revenue': 566610, 'netIncome': -1369310, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 486550, 'netIncome': -5974180, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}]",14D,,,,,,,,
AU0000001AD2,0.003,0.002,0.0025,0.0025,0.0025,0.02436,0.002,1365697.113503,-3.93828,-0.00727,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,1006706527,0.0,"[{'revenue': 1784520, 'netIncome': -5381270, 'period': '2024A', 'fPeriodEndDate': 45473, 'curCode': 'AUD'}, {'revenue': 3531750, 'netIncome': -4851190, 'period': '2023A', 'fPeriodEndDate': 45107, 'curCode': 'AUD'}, {'revenue': 2755220, 'netIncome': -6061020, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 3987320, 'netIncome': -5628360, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}]",1AD,,,,,,,,
AU0000216889,0.063,0.06,0.065,0.063,0.06,0.099,0.033,211319.21519,-1.67618,-0.00843,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,179063737,0.0,"[{'revenue': 0, 'netIncome': -2357860, 'period': '2024A', 'fPeriodEndDate': 45473, 'curCode': 'AUD'}, {'revenue': 0, 'netIncome': -5662150, 'period': '2023A', 'fPeriodEndDate': 45107, 'curCode': 'AUD'}, {'revenue': 0, 'netIncome': -1914300, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 0, 'netIncome': -205760, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}]",1AE,,,,,,,,
AU0000296022,0.006,0.005,0.005,0.0055000000000000005,0.0055000000000000005,0.013,0.005,812942.777778,-1.21527,-0.00077,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,1687394731,0.0,"[{'revenue': 125200, 'netIncome': -2095560, 'period': '2024A', 'fPeriodEndDate': 45473, 'curCode': 'AUD'}, {'revenue': 42020, 'netIncome': -2107660, 'period': '2023A', 'fPeriodEndDate': 45107, 'curCode': 'AUD'}, {'revenue': 3410, 'netIncome': -1957300, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 268180, 'netIncome': -1460590, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}]",1AI,,,,,,,,
AU0000241234,0.009000000000000001,0.007,0.008,0.008,0.008,0.017,0.006,1272734.7625,-1.73205,-0.0025,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,1177879898,0.0,"[{'revenue': 4880290, 'netIncome': -1976660, 'period': '2024A', 'fPeriodEndDate': 45657, 'curCode': 'AUD'}, {'revenue': 3866260, 'netIncome': -2599480, 'period': '2023A', 'fPeriodEndDate': 45291, 'curCode': 'AUD'}, {'revenue': 1627080, 'netIncome': -6907850, 'period': '2022A', 'fPeriodEndDate': 44926, 'curCode': 'AUD'}, {'revenue': 12670, 'netIncome': -515430, 'period': '2021A', 'fPeriodEndDate': 44561, 'curCode': 'AUD'}]",1CG,,,,,,,,
AU0000199929,0.019,0.017,0.018,0.018000000000000002,0.016,0.075,0.016,170738.62069,-4.52618,0.0136,0.6508425156364915,1.32353,1.53647,False,Ordinary Fully Paid,364506909,0.0,"[{'revenue': 526200, 'netIncome': -2994770, 'period': '2024A', 'fPeriodEndDate': 45473, 'curCode': 'AUD'}, {'revenue': 479730, 'netIncome': -2845180, 'period': '2023A', 'fPeriodEndDate': 45107, 'curCode': 'AUD'}, {'revenue': 788940, 'netIncome': -681010, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 133380, 'netIncome': -72802490, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}]",1MC,,,,,,,,
AU0000276271,0.001,0.001,0.001,,,0.01,0.001,11622100.088235,-2.47357,-0.00681,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,2031723038,0.0,"[{'revenue': 1155610, 'netIncome': -3556730, 'period': '2024A', 'fPeriodEndDate': 45473, 'curCode': 'AUD'}, {'revenue': 481270, 'netIncome': -1432460, 'period': '2023A', 'fPeriodEndDate': 45107, 'curCode': 'AUD'}, {'revenue': 480280, 'netIncome': -2173320, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 144080, 'netIncome': -2947860, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}]",1TT,,,,,,,,
AU0000157067,0.24,0.23,0.23,0.24,0.225,0.57,0.105,4439120.866667,-57.06,-0.24022,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,1371336435,0.0,"[{'revenue': 551063000, 'netIncome': -177608000, 'period': '2024A', 'fPeriodEndDate': 45657, 'curCode': 'AUD'}, {'revenue': 449748000, 'netIncome': -440463000, 'period': '2023A', 'fPeriodEndDate': 45291, 'curCode': 'AUD'}, {'revenue': 720688000, 'netIncome': -47222000, 'period': '2022A', 'fPeriodEndDate': 44926, 'curCode': 'AUD'}, {'revenue': 600762000, 'netIncome': 121013000, 'period': '2021A', 'fPeriodEndDate': 44561, 'curCode': 'AUD'}]",29M,2022-09-15,2022-10-14,2022-09-16,0.02,AUD,I,100.0,0.0
AU0000045098,32.12,31.7,32.85,32.445,31.51,33.65,13.22,1264869.311111,43.62089,0.05351,0.006240958411501338,613.8822,160.2318,True,Cdi 3:1 Foreign Exempt Xngs,230559816,0.0,"[{'revenue': 371484000, 'netIncome': -4555000, 'period': '2024A', 'fPeriodEndDate': 45657, 'curCode': 'USD'}, {'revenue': 304518000, 'netIncome': -28171000, 'period': '2023A', 'fPeriodEndDate': 45291, 'curCode': 'USD'}, {'revenue': 228305000, 'netIncome': -91629000, 'period': '2022A', 'fPeriodEndDate': 44926, 'curCode': 'USD'}, {'revenue': 112643000, 'netIncome': -33557000, 'period': '2021A', 'fPeriodEndDate': 44561, 'curCode': 'USD'}]",360,,,,,,,,
AU0000064578,0.305,0.295,0.32,0.32,0.295,0.435,0.2,526340.011364,-36.68898,-0.04198,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,690309851,0.0,"[{'revenue': 463860, 'netIncome': -18785310, 'period': '2024A', 'fPeriodEndDate': 45473, 'curCode': 'AUD'}, {'revenue': 68300, 'netIncome': -12527780, 'period': '2023A', 'fPeriodEndDate': 45107, 'curCode': 'AUD'}, {'revenue': 569830, 'netIncome': -8621490, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 504140, 'netIncome': -6990080, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}]",3DA,,,,,,,,
